AS13244,Rietumu Bank
AS16279,Citadele Group
AS215712,Printful Latvia AS
AS210886,Magnetiq Bank
AS35734,"SIA ""PNB Print"""
AS47284,Motor Insurers Bureau of Latvia
AS205821,SIA Arena Riga
AS61277,ScienceSoft SIA
AS42078,XOTEL SIA
AS197446,SIA Vitol Terminal Latvia
AS2877,Latvian Shipping Company
AS50485,Belam - Riga SIA
AS206541,Kreiss
AS49036,"SIA ""Euro Live Technologies"""
AS197466,SIA 3ENITH
AS202555,SIA Tamro
AS207689,SIA TEIKUMS
AS51610,Signet Bank
AS211424,"SIA ""LSK Studios"""
AS3332,Swedbank Estonia
AS59807,Swedbank AB
AS44320,Skandinaviska Enskilda Banken AB
AS43682,SEB Estonia
AS15995,SEB Lithuania
AS41067,SEB Russia
AS15684,OPTICOM SIA
AS212717,Tietoevry Banking Latvia SIA
AS35809,"SIA ""DIVI Grupa"""
AS201574,LATVIJAS LOTO VAS
AS213022,"SIA ""DPD Latvija"""
AS56323,Eco Baltia AS
AS208938,Food Union
AS35333,SIA NETVISION
AS207377,Evolution Latvia SIA
AS202863,OPTIBET LTD
AS35302,"AS ""Latvenergo"""
AS42663,SIA LATVIJAS TALRUNIS
AS15818,GASO (LATVIJAS GAZE AS)
AS20509,Elko Grupa as
AS48867,Regional Investment Bank
AS211527,"SIA ""Orkla Latvija"""
AS207254,AS Postimees Grupp
AS56454,Tilde SIA
AS35636,SIA Worldline Latvia
AS201611,SmartLynx Airlines
AS21420,Swedbank Lithuania
AS59967,SIA EVOLUTION LATVIA
AS212132,Evolution Latvia SIA
AS215537,E-karte SIA
AS16062,"Latvijas tikli, SIA"
AS51338,SIA Latvijas Propana gaze
AS64421,SERTEX (ELEKOP)
AS205625,Winfinity
AS199034,"SIA ""Baltic project group"""
AS34535,"Standart AG, LLC"
AS51347,ESTERIA (SMS solutions SIA)
AS60608,Olympic Entertainment Group AS
AS212676,SIA Decta
AS43956,Latvijas Finieris A/S
AS197870,"S.I.A.""IBANPAY"""
AS45314,PT Medco E&P Indonesia
AS23954,PT Bank Mandiri (Persero) Tbk
AS211885,Prodimpekss Logistikas Grupa SIA
AS36385,Google (Corporate Network) 
AS200587,Red Bee Media B.V.
AS41878,Crosskey Banking Solutions Ab Ltd
AS12291,Deutsche Post AG
AS137369,PT Integral Data Prima
AS136117,PT Bank Pembangunan Daerah Jawa Barat & Banten
AS137383,PT Mandiri Sekuritas
AS209623,GASCADE Gastransport GmbH
