AS399161,"Vercara, LLC"
AS148000,1.10.10.10 - Indian Public DNS
AS39945,Nuspire Communications
AS199610,marbis GmbH
AS207941,JITEN PATHY
AS12008,Vercara (f.k.a Neustar)
AS200315,NetConnect Innovations LLC
AS35052,ACONET
AS213605,Liu HaoRan
AS14907,Wikimedia Foundation Inc.
AS396998,"Path Network, Inc."
AS4892,"APPLIED SYSTEMS, INC"
AS57724,DDOS-GUARD LTD
AS397994,Xactly Corporation
AS25923,"ChoicePoint, Inc."
AS42692,Overweb Srl
AS53831,"Squarespace, Inc."
AS48053,Foundation of Research and Technology Hellas
AS20021,"Ntirety, Inc."
AS393312,TELEFLEX INCORPORATED
AS20333,Cloudwave
AS7280,Oath Holdings Inc.
AS197997,RegisterBG Ltd
AS44239,proinity GmbH
AS13360,Triton Digital
AS59238,"Innovative Extremist Co., Ltd."
AS36221,Esosoft Corporation
AS213120,Akamai International B.V.
AS15169,Google LLC
AS60592,Gransy s.r.o.
AS400797,Ping Identity Corporation
AS45820,Tata Teleservices ISP AS
AS32787,Akamai (Prolexic)
AS49,National Institute of Standards and Technology
AS16645,"EPIQ Systems, Inc"
AS199993,Associacao DNS.PT
AS13649,Flexential Colorado Corp.
AS396986,"Bytedance, Inc. (TikTok)"
AS64199,TCPShield
AS215540,GLOBAL CONNECTIVITY SOLUTIONS LLP
AS61455,LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION
AS59893,Free Range Cloud Ltd.
AS15967,Nazwa.pl Sp.z.o.o.
AS213327,Alessandro Verzicco
AS137409,GSL Networks Pty LTD
AS32133,Ting Fiber Inc.
AS40642,ILLINOIS WESLEYAN UNIVERSITY
AS3257,GTT Communications Inc.
AS52224,LACNIC - Latin American and Caribbean IP address
AS40539,"Hosting Consulting, Inc"
AS42214,Network Services Ltd.
AS212217,BB-Online UK Ltd
AS57629,LLC IVI.RU
AS40627,RingCentral Inc
AS6185,Apple Inc.
AS399678,Carrier Corporation
AS7578,Global Secure Layer
AS151332,CoinJar Pty Ltd
AS395831,Meraki LLC
AS150289,Sun Yanzheng
AS3223,Voxility LLP
AS53595,Oshkosh Corporation
AS25111,Coloplast A/S
AS43519,Nominet UK
AS398549,Zero Attack Vector LLC
AS21245,MEDIANOVA INTERNET HIZMETLERI VE TICARET ANONIM SIRKETI
AS5927,DoD Network Information Center
AS198554,8X8 UK Limited
AS14537,Continent 8 LLC
AS27411,"Leaseweb USA, Inc."
AS36351,IBM Cloud
AS5416,BEYON B.S.C.
AS213891,Liu Zhen
AS18723,Seagate Technology LLC
AS398787,"GoDaddy.com, LLC"
AS44932,Fannavaran-e Idea Pardaz-e Saba PJSC
AS400196,Netskrt
AS142283,AUSTRALIAN LAMB (COLAC) PTY LTD
AS45474,NEXUSGUARD LIMITED
AS61126,Lee Valentine
AS24406,China Internet Network Infomation Center
AS23507,AV SERVICES LLC
AS20756,NAMESHIELD SAS
AS206998,NEW RELIC INTERNATIONAL LIMITED
AS42909,Community DNS Limited
AS61007,OpenTLD BV
AS21859,Zenlayer Inc
AS151485,CEYLON ELECTRICITY BOARD
AS33191,"Notion Labs, Inc."
AS30811,Optimizely AB
AS136133,SQUIXA PTY LIMITED
AS54738,Imax Corporation
AS19281,Quad9
AS53589,PlanetHoster
AS36180,Cisco IoT
AS47581,NSFOCUS Technologies UK Limited
AS201188,BJT PARTNERS SAS
AS20373,"Marley Index, LLC"
AS394945,Expeditors International of Wa Inc.
AS198147,Telecommunication Tokelau Corporation Teletok
AS3215,Orange S.A.
AS40355,Sundance International LLC
AS25192,"CZ.NIC, z.s.p.o."
AS25098,Netcalibre Ltd
AS30295,Smartt Inc.
AS213576,Robert Weir
AS11048,DigitalStakeout
AS51185,MainStreaming SpA
AS51115,HLL LLC
AS21556,NASA Ames Research Center - E-root
AS1827,Manatee County Government
AS399561,"Right Connection, Inc."
AS133096,MOTHERSHIP
AS204055,CentralNic Ltd
AS210842,Rohmad Kurniadin
AS52580,Azion Technologies Ltda.
AS400138,"Databento, Inc."
AS19186,GMCHOSTING LLC
AS40027,Netflix Streaming Services Inc.
AS57898,DNS Retail Ltd.
AS32771,DNSimple Corporation
AS396664,Verisign Anycast HK 0A
AS53667,FranTech Solutions
AS54456,"CloudAccess.net, LLC"
AS43391,Netdirekt A.S.
AS29522,Cyber_Folks S.A.
AS19905,"Vercara, LLC"
AS53332,"C2Hosting, LLC"
AS132647,Pengelola Nama Domain Internet Indonesia
AS152899,REDSTAR GLOBAL TIMOR LDA
AS40009,"BitGravity, Inc."
AS206924,Ben Cartwright-Cox
AS44273,Host Europe GmbH
AS199414,Noah Kolossa
AS28498,Network Information Center México
AS211757,Panascais ehf.
AS133676,Precious netcom pvt ltd
AS55002,"F5, Inc."
AS395363,"Infoblox, Inc."
AS197440,dot IT ccTLD anycast
AS26710,ICANN
AS209854,Cyberzone S.A.
AS209199,Cloud Unboxed Limited
