AS31205,PJSC MegaFon
AS29069,PJSC Rostelecom
AS262186,TV AZTECA SUCURSAL COLOMBIA
AS25374,ESCOM Ltd. - Haskovo
AS21230,M SAT Cable EAD
AS196949,Natalia Sergeevna Filicheva
AS18809,Cable Onda
AS18001,Dialog Axiata PLC.
AS17816,China Unicom IP network China169 Guangdong province
AS12969,Ljósleiðarinn ehf (Vodafone Iceland)
AS11664,Techtel LMDS Comunicaciones Interactivas S.A.
AS9381,HKBN Enterprise Solutions HK Limited
AS8767,M-net Telekommunikations GmbH
AS8585,Crnogorski Telekom a.d.Podgorica
AS8492,"""OBIT"" Ltd."
AS7522,"STNet, Incorporated"
AS6712,TVP Format Llc
AS6568,EMPRESA NACIONAL DE TELECOMUNICACIONES SOCIEDAD ANONIMA
AS50498,"JSC ""ER-Telecom Holding"""
AS50473,Altagen JSC
AS49453,Global Layer B.V.
AS48503,Mobile Telecom-Service LLP
AS48330,Sinev Maksim Viktorovich
AS48239,Scientific-Production Enterprise Information Technologies Ltd
AS45916,Gujarat Telelink Pvt Ltd
AS45194,Syscon Infoway Pvt. Ltd.
AS36992,Etisalat Egypt
AS28917,"Fiord Networks, UAB"
AS2609,Tunisia BackBone AS
AS25454,Orange Moldova S.A.
AS25408,"JSC ""ER-Telecom Holding"""
AS24547,Hebei Mobile Communication Company Limited
AS23944,SKY Cable Corporation
AS2116,GLOBALCONNECT AS
AS20590,Donbass Electronic Communications Ltd.
AS18207,YOU Broadband & Cable India Ltd.
AS17665,ONEOTT INTERTAINMENT LIMITED
AS17638,ASN for TIANJIN Provincial Net of CT
AS16058,Gabon Telecom / Office of Posts and Telecommunications of Gabon
AS1403,EBOX
AS13036,T-Mobile Czech Republic a.s.
AS12695,LLC Digital Network
AS12302,Vodafone Romania S.A.
AS12252,America Movil Peru S.A.C.
AS10013,"FreeBit Co.,Ltd."
AS9158,Telenor A/S
AS9070,Cooolbox AD
AS6713,Maroc Telecom
AS5563,"JSC ""ER-Telecom Holding"""
AS52260,Télécommunications de Haití (Teleco)
AS51896,Hringdu ehf
AS51819,"JSC ""ER-Telecom Holding"""
AS50581,Ukrainian Telecommunication Group LLC
AS48642,"Joint stock company ""For"""
AS47241,Joint Stock Company TransTeleCom
AS45669,PMCL /LDI IP TRANSIT
AS42110,"PJSC ""Vimpelcom"""
AS36937,Liquid Telecommunications South Africa (Pty) Ltd
AS35810,BIG TELECOM JSC
AS35753,Integrated Telecom Co. Ltd
AS35475,PJSC Moscow city telephone network
AS35320,Eurotranstelecom Ltd
AS35311,PR-TELECOM ZRt.
AS30986,Scancom Limited
AS27364,Armstrong
AS22995,Xplore Inc.
AS17747,SITI NETWORKS LIMITED
AS15735,GO p.l.c.
AS15673,Teleseti Plus Ltd.
AS15542,DELTA Fiber Nederland B.V.
AS1547,"INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo"
AS15378,T2 Mobile LLC
AS14522,Satnet
AS137691,"Heilongjiang Province, P.R.China."
AS12810,A1 Hrvatska d.o.o.
AS12390,KCOM GROUP LIMITED
AS9365,its communications Inc.
AS8376,Jordan Data Communications Company LLC
AS7155,"ViaSat,Inc."
AS60139,Sever Telecom JSC
AS58895,Ebone Network (PVT.) Limited
AS49800,GNC-Alfa CJSC
AS49342,"OOO ""MediaSeti"""
AS47236,CityLink Ltd
AS45814,Fariya Networks Pvt. Ltd.
AS44724,Octopusnet LTD
AS42893,Home Internet Ltd
AS42313,ONE ALBANIA SH.A.
AS41661,"JSC ""ER-Telecom Holding"""
AS395965,Carrytel
AS37693,OOREDOO TUNISIE SA
AS37284,Aljeel Aljadeed For Technology
AS36925,Orange Maroc
AS35804,PP SKS-LUGAN
AS3549,Lumen (fka. Global Crossing)
AS35362,"LIMITED LIABILITY COMPANY ""BEST SOLUTIONS"""
AS34757,Sibirskie Seti Ltd.
AS34590,"JSC ""ER-Telecom Holding"""
AS34218,Three Ireland (Hutchison) limited
AS33885,Telenor Sverige AB
AS31143,COSMOS TV JLLC
AS29357,OOredOO Kuwait NMTC
AS29084,Comnet Bulgaria Holding Ltd.
AS28890,INSYS LLC
AS28118,ALTICE DOMINICANA S.A.
AS25133,"LLC ""McLaut-Invest"""
AS25086,MTS PJSC
AS21191,Joint Stock Company TransTeleCom
AS17809,VEE TIME CORP.
AS15964,CAMTEL
AS11338,SKY SERVIÇOS DE BANDA LARGA LTDA
AS10139,"Smart Broadband, Inc."
AS8580,MTS PJSC
AS6789,CRELCOM LLC
AS6471,ENTEL CHILE S.A.
AS55714,Fiberlink Pvt.Ltd
AS54614,CIK Telecom INC
AS50512,"JSC ""ER-Telecom Holding"""
AS47914,OOO Creative Direct Marketing Solutions
AS4662,GCNet (Reach & Range Inc.)
AS44677,MTS PJSC
AS42689,Glide Student & Residential Limited
AS42003,OGERO
AS41897,Sat-Trakt D.O.O.
AS37492,Orange Tunisie
AS37168,Cell C (Pty) Ltd
AS36423,Liberty Communications of Puerto Rico LLC
AS35539,Information and Communication Technologies LLC
AS34058,"Limited Liability Company ""lifecell"""
AS33666,"Comcast Cable Communications, LLC"
