AS38527,PT Jawa Pos National Network Medialink
AS58474,PT Matrixnet Global Indonesia
AS139972,PT Putra Lebak Banten
AS136119,PT Bali Towerindo Sentra Tbk
AS23756,PT Padi Internet
AS64315,PT Mitra Visioner Pratama
AS151544,PDWNet
AS49774,S.C. Interlink Banat S.R.L.
AS138818,Internet Ini Saja
AS138887,PT Adizka Lintas Data
AS58485,PT Wifian Solution
AS135478,PT Cyberindo Aditama
AS328442,United SA
AS207176,OPENFIBER B.V.
AS142374,PT Solusi Integra Datakom
AS140407,PT Kawan Informatika Teknologi Abadi
AS149881,PT Wikaplus Global Nusantara
AS133606,Viettel Timor Leste
AS133799,PT Gomeds Network
AS142386,PT Jaringan Lintas Artha
AS139981,PT Menaksopal Link Nusantara
AS64300,PT Jaringanku Sarana Nusantara
AS136873,PT Mega Artha Lintas Data
AS62275,NHM - S.R.L.
AS9228,PT Total Info Kharisma
AS24530,PT Power Telecom
AS24211,PT Detik Ini Juga
AS133819,PT Citra Infomedia
AS17727,PT NAP Info Lintas Nusa
AS38150,PT Time Excelindo
AS8953,Orange Romania S.A.
AS8751,MEDIA SAT SRL
AS59278,PT Jaringan VNT Indonesia
AS139382,PT Multi Teknologi Telematika
AS131749,PT Arthatama Adhiprima Persada
AS138854,PT Inter Medialink Solusi
AS136065,PT Solusi Trimegah Persada
AS131746,PT Medianusa Permana
AS138860,PT Jaya Lintas Indonesia
AS55670,PT Universal Broadband
AS9794,PT Core Mediatech
AS24523,PT Orion Cyber Internet
AS135459,PT Globalriau Data Solusi
AS147137,PT Helium Sinergi Telekomunikasi
AS136820,PT Lisar International Networking
AS150487,PT Nusantara Akses Telekomunikasi
AS139365,PT Patria Lintas Jaya
AS149712,PT Lingkar Kabel Telekomunikasi
AS142315,PT Argatek Torsada Guna
AS38146,PT Digital Wireless Indonesia
AS138130,PT Phatria Inti Persada
AS63508,PT Dinamika Mediakom
AS138074,PT Wowrack Cepat Teknologi Nusantara
AS24213,PT Arsen Kusuma Indonesia
AS138079,PT Fiqran Solusindo Mediatama
AS149903,PT Pandawa Lintas Media
AS45725,PT Kings Network Indonesia
AS45312,PT Media Lintas Data
AS139378,PT NEX Solusi Teknologi
AS24521,PT Data Utama Dinamika
AS141140,PT Jinde Grup Indonesia
AS64029,PT Rama Wima Nusantara
AS137351,PT Djaya Sampoerna Net
AS142389,PT Inti Koneksi Intradata Indonesia
AS136847,PT Alif Investama Teknologi Indonesia
AS141626,PT Sandya Sistem Indonesia
AS38156,PT Union Routelink Communication
AS24535,PT Insan Sarana Telematika
AS147101,PT Lintas Teknologi Solusindo
AS141642,PT Ring Media Nusantara
AS141898,PT Milenial Inti Telekomunikasi
AS141607,PT Gayatri Lintas Nusantara
AS45786,PT Hawk Teknologi Solusi
AS38769,PT Bit Technology Nusantara
AS63873,PT Mitra Akses Globalindo
AS138814,PT Telemedia Prima Nusantara
AS138143,PT Gerbang Akses Indonesia
AS136224,City Online Ltd.
AS60670,WideFM Ltd
AS208972,GIBIRNet Iletisim
AS45707,PT Prime Link Communication
AS270412,VIP NET PROVEDOR DE INTERNET LTDA ME
AS59702,Junet AB
AS47813,"Atomlantis Network, LLC"
AS131316,Slnet Hosting
AS147154,PT Pass Internet Indonesia
AS132652,PT Cahaya Buana Raksa
AS142308,PT Whiz Digital Berjaya
AS138886,PT Data Buana Nusantara
AS38496,PT Cyber Network Indonesia
AS23671,PT Sarana Insan Muda Selaras
AS4788,TM Technology Services Sdn. Bhd.
AS45722,PT Widya Intersat Nusantara
AS149963,PT Layanan Internet Sakti
AS55679,PT Hyperindo Media Perkasa
AS23953,PT Artha Telekomindo
AS134658,PT Julia Multimedia Nusantara
AS141606,PT Sembilan Mediadata Nusaraya
AS63490,PT Artha Media Lintas Nusa
AS59239,iTel Limited
AS141935,PT Cipta Data Global
AS136479,Cyber Telecom ISP
AS2116,GLOBALCONNECT AS
AS3303,Swisscom (Schweiz) AG
AS7843,Charter Communications Inc
AS20115,Charter Communications LLC
AS141049,PT Profesional Internet Indonesia
AS328266,Atomic Access
AS132637,PT Bina Informatika Solusindo
AS198570,Stadtnetz Bamberg Gesellschaft fuer Telekommunikation mbH
AS150257,PT Telindo Flash Mediatama
AS50576,FREEWAY Plus LLC
AS141600,PT Viriya Surya Abadi
AS140994,Gigawave Communications
AS139951,PT Alfatih Indo Teknologi
AS132649,PT Adau Putra Network
AS142366,PT Relabs Net Daya Cipta
AS17996,PT Global Prima Utama
AS138824,PT Gemilang Jaya Elektrindo
AS136054,PT Comtelindo
AS138096,PT Informasi Nusantara Teknologi
AS55653,PT Skyline Semesta
AS9326,PT Centrin Utama
AS18103,PT Prestasi Piranti Informasi
AS141093,PT Media Data Lintas Nusantara Bersatu
AS42905,LIMANET Ltd.
AS4628,Pacific Internet Pte Ltd
AS42652,inexio Informationstechnologie und Telekommunikation Gmbh
AS138109,PT Rasi Bintang Perkasa
AS59149,PT Tujuh Delapan Sembilan Net
AS45302,PT DES Teknologi Informasi
AS139381,PT Citra Berdikari Nusantara
AS140482,PT Infrastruktur Digital Indonesia
AS45710,PT Yudhawira Khatulistiwa
AS131111,PT Mora Telematika Indonesia Tbk
AS31204,ORANGE MOLDOVA S.A.
AS17884,PT Uninet Media Sakti
AS142333,PT Triguna Akses Teknologi
AS4382,PT Indonusa System Integrator Prima
AS139446,PT Gonet Teknologi Indonesia
AS138873,PT Green Net Indonesia
AS139405,PT Media Cipta Trimetika
AS48266,Catixs Ltd
AS9269,Hong Kong Broadband Network Ltd.
AS9381,HKBN Enterprise Solutions HK Limited
AS1820,WNET TELECOM USA Corp.
AS53340,FiberHub (VegasNAP)
AS141071,PT Jembatan Data Pangrango
AS138087,PT Java Medianet Tekhnologi
AS150517,PT Media Grasi Internet
AS211215,Fibernet Finland Oy
AS8916,Portfast Ltd
AS25454,Orange Moldova S.A.
AS15836,Arax-Impex s.r.l.
AS23947,PT Mora Telematika Indonesia Tbk
AS139955,PT Data Prima Solusindo
AS205687,HiERO GmbH
AS328888,ORCA TECHNOLOGIES (PTY) LTD
