saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
185.144.224.1,31494329,192.168.50.16,271755456,34039,55,udp,1,161.0,56075.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041b3019040b8000000903003a9c2694400201000201000400040004003030040b8000000903003a9c2694400400a81f020237f002010002010030133011060a2b060106030f01010400410302f41d,0,0,2025-05-17T16:43:04.259+0200,1747492984,259441
185.29.203.41,701177273,192.168.50.16,271755456,0,55,udp,1,161.0,35207.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f001c731819d60002010602040b73b8da040004000400302f040af5717f001c731819d6000400a81f020237f002010002010030133011060a2b060106030f0101040041030238a4,0,0,2025-05-17T16:43:04.259+0200,1747492984,259473
213.132.206.1,30311637,192.168.50.16,271755456,40083,53,udp,1,161.0,54642.0,,,,,96.0,3056020103300f02024a69020300ffe304010002010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f0101040041020562,0,0,2025-05-17T16:43:04.259+0200,1747492984,259539
31.201.224.1,31508767,192.168.50.16,271755456,5935,246,udp,1,161.0,41249.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c502660000000031201007169020102020402f04f5e0400040004003031040c5026600000000312010071690400a81f020237f002010002010030133011060a2b060106030f010104004103014af9,0,0,2025-05-17T16:43:04.259+0200,1747492984,259568
217.148.168.11,195597529,192.168.50.16,271755456,19850,56,udp,1,161.0,50669.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041b3019040b8000000903547fee3f30c0020100020100040004000400302f040b8000000903547fee3f30c00400a81e020237f002010002010030123010060a2b060106030f0101040041021fef,0,0,2025-05-17T16:43:04.259+0200,1747492984,259613
82.163.42.1,19571538,192.168.50.16,271755456,62867,57,udp,1,161.0,48789.0,,,,,106.0,3060020103300f02024a69020300ffe3040100020103041b3019040980000a4c012d953406020109020347be42040004000400302d040980000a4c012d9534060400a81e020237f002010002010030123010060a2b060106030f0101040041021ccb,0,0,2025-05-17T16:43:04.259+0200,1747492984,259647
185.162.56.1,20488889,192.168.50.16,271755456,0,55,udp,1,161.0,42082.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041c301a040af5717f001c73750e2f0002010402034ed44a040004000400302e040af5717f001c73750e2f000400a81e020237f002010002010030123010060a2b060106030f0101040041020c36,0,0,2025-05-17T16:43:04.259+0200,1747492984,259716
46.243.100.1,23393070,192.168.50.16,271755456,7662,246,udp,1,161.0,55254.0,,,,,113.0,3067020103300e02024a69020205dc040100020103041f301d040c800000090300b4de31ef5980020106020403018f1b0400040004003031040c800000090300b4de31ef59800400a81f020237f002010002010030133011060a2b060106030f010104004103015906,0,0,2025-05-17T16:43:04.259+0200,1747492984,259752
2.58.165.1,27605506,192.168.50.16,271755456,0,55,udp,1,161.0,47324.0,,,,,96.0,3056020103300f02024a69020300ffe304010402010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f0101040041022597,0,0,2025-05-17T16:43:04.259+0200,1747492984,259785
185.220.215.149,2513951929,192.168.50.16,271755456,54461,244,udp,1,161.0,45525.0,,,,,112.0,3066020103300e02024a6902020800040100020103041f301d040c000000090300f04a02cdde9a020108020401c6e68b0400040004003030040c000000090300f04a02cdde9a0400a81e020237f002010002010030123010060a2b060106030f01010400410250f4,0,0,2025-05-17T16:43:04.259+0200,1747492984,259819
185.52.60.1,20722873,192.168.50.16,271755456,59387,55,udp,1,161.0,41729.0,,,,,115.0,3069020103300e02024a69020208000401000201030420301e040d80000634b29e2000101470d8f70201050204009012500400040004003032040d80000634b29e2000101470d8f70400a81f020237f002010002010030133011060a2b060106030f01010400410301b7ca,0,0,2025-05-17T16:43:04.259+0200,1747492984,259851
94.102.48.1,19949150,192.168.50.16,271755456,38799,55,udp,1,161.0,42078.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f444ca8c41efb000201040204012b8dce040004000400302f040af5717f444ca8c41efb000400a81f020237f002010002010030133011060a2b060106030f010104004103097770,0,0,2025-05-17T16:43:04.259+0200,1747492984,259887
154.54.13.62,1041053338,192.168.50.16,271755456,61352,57,udp,1,161.0,55569.0,,,,,140.0,308181020103300e02024a69020205c0040100020103042d302b041938303030343634373236393736363536653635373437333061020206f80204012405a4040004000400303d0419383030303436343732363937363635366536353734373330610400a81e020237f002010002010030123010060a2b060106030f0101040041023fad,0,0,2025-05-17T16:43:04.259+0200,1747492984,259930
80.231.152.12,211347280,192.168.50.16,271755456,2903,57,udp,1,161.0,56267.0,,,,,139.0,308180020103300e02024a69020205c0040100020103042c302a0419383030303436343732363937363635366536353734373330610202053802037ad6b8040004000400303d0419383030303436343732363937363635366536353734373330610400a81e020237f002010002010030123010060a2b060106030f0101040041020de1,0,0,2025-05-17T16:43:04.259+0200,1747492984,259967
103.7.55.1,20383591,192.168.50.16,271755456,2317,247,udp,1,161.0,32894.0,,,,,111.0,3065020103300e02024a6902021194040100020103041e301c040b800007c703609c9f582e000201220204033bfa410400040004003030040b800007c703609c9f582e000400a81f020237f002010002010030133011060a2b060106030f010104004103019ac5,0,0,2025-05-17T16:43:04.260+0200,1747492984,260015
